Evil 2015 Action ABC Studios Charlie Cox Deborah Ann Woll, Number of episodes: 45
Titans 2017 Action Warner Bros Brenton Thwaites Anna Diop, Number of episodes: 3
Samurai 2008 Comedy Warner Bros James Wan T. Cruise N. Kidman, Profit: 1215
Samurai 2008 Comedy Warner Bros James Wan T. Cruise N. Kidman, Profit: 1000
Game of Thrones 2011 Fantasy Warner Bros Peter Dinklage Emilia Clarke, Number of episodes: 67
Gods 2006 Fiction Paramount Pictures James Wan N. Kidman T. Cruise, Profit: 98
Gods will 2005 Fiction Paramount Pictures James Wan N. Kidman T. Cruise, Profit: 120
City of God 2008 Horror New Line Cinema James Wan N. Kidman T. Cruise, Profit: 193
Conjuring 2002 Horror New Line Cinema James Wan Vera Farmiga Chris Evans, Profit: 687
The Dead 2010 Horror Skybound Entertainment Andrew Lincoln Jon Bernthal, Number of episodes: 130
The Knight 2006 Horror New Line Cinema James Wan Jennifer Lawrence Patrick Wilson, Profit: 450







































